date,time,bytes,bytes_per_sec,msgs,msgs_per_sec,success,error,lat_count,lat_avg,lat_max,lat_histo_samples,lat_histo_min,lat_histo_max,lat_histo_mean,lat_histo_stddev,lat_histo_median,lat_histo_p75,lat_histo_p95,lat_histo_p98,lat_histo_p99,lat_histo_p999,topics
2018-07-31,16:29:07,3148103825,52468397,15171612,252860,15171612,0,15171612,178,1651,14917386,22,1651,178.61,91.59,172.00,225.00,288.00,376.00,480.00,1157.00,1000
2018-07-31,16:30:07,3146350818,52439180,15163304,252721,15163306,0,15163308,180,974,14917348,24,974,180.16,76.48,176.00,230.00,293.00,344.00,416.00,647.00,1000
2018-07-31,16:31:07,3145347649,53310977,15158481,256923,15158480,0,15158480,190,1000,14877169,24,1000,191.23,78.42,188.00,241.00,312.00,355.00,422.00,644.00,1000
2018-07-31,16:32:07,3145520348,52425339,15158830,252647,15158830,0,15158829,199,1834,14905696,26,1834,199.25,88.40,194.00,248.00,321.00,384.00,464.00,823.00,1000
2018-07-31,16:33:07,3149159288,53375581,15176734,257232,15176733,0,15176732,195,1537,14928462,24,1537,195.00,84.27,191.00,245.00,322.00,368.00,436.00,742.00,1000
2018-07-31,16:34:07,3145371318,52422855,15158373,252639,15158374,0,15158376,187,1536,14876244,23,1536,187.84,82.91,183.00,237.00,307.00,369.00,445.00,711.00,1000
2018-07-31,16:35:07,3146301810,53327149,15163073,257001,15163072,0,15163070,183,788,14887763,24,788,182.84,74.81,180.00,233.00,295.00,335.00,404.00,614.00,1000
2018-07-31,16:36:07,3150046562,53390619,15180992,257304,15180992,0,15180992,192,1461,14911861,24,1461,192.71,83.50,188.00,242.00,318.00,373.00,450.00,695.00,1000
2018-07-31,16:37:07,3146136041,52435600,15161876,252697,15161877,0,15161881,182,1485,14921566,25,1485,182.97,82.52,178.00,232.00,298.00,354.00,434.00,756.00,1000
2018-07-31,16:38:07,3145601003,53315271,15159022,256932,15159021,0,15159017,186,823,14893191,24,823,186.30,77.13,183.00,236.00,304.00,357.00,430.00,618.00,1000
2018-07-31,16:39:07,3146723576,52445392,15164646,252744,15164646,0,15164646,179,1508,14899467,24,1508,179.95,79.68,176.00,229.00,288.00,338.00,428.00,712.00,1000
2018-07-31,16:40:07,3145985451,53321787,15161259,256970,15161261,0,15161264,175,780,14903961,24,780,175.80,75.00,172.00,226.00,286.00,331.00,412.00,625.00,1000
2018-07-31,16:41:07,3152292987,52538216,15191916,253198,15191992,0,15192136,191,1228,14924861,25,1228,191.32,80.52,187.00,241.00,313.00,364.00,437.00,697.00,1000
2018-07-31,16:42:07,3142209080,53257781,15142853,256658,15142775,0,15142630,181,975,14805648,25,975,181.71,76.25,178.00,231.00,295.00,345.00,416.00,640.00,1000
2018-07-31,16:43:07,3147287478,52454791,15167660,252794,15167660,0,15167658,172,929,14911944,23,929,172.81,73.48,170.00,223.00,279.00,322.00,398.00,621.00,1000
2018-07-31,16:44:07,3145316273,53310445,15157901,256913,15157904,0,15157908,181,956,14890294,26,956,181.29,75.33,178.00,231.00,293.00,338.00,414.00,618.00,1000
2018-07-31,16:45:07,3146157734,52435962,15161874,252697,15161871,0,15161870,192,765,14879155,25,765,191.98,75.71,189.00,242.00,308.00,344.00,407.00,608.84,1000
